Indian Port,Cush,BE_NO,BE_DATE,CTH,ITEM,GRADE,QTY,UQC,UNIT_VALUE_INR,InvoiceUnitPriceFC,Invoice_Currency,TOTAL_VALUE,UPI,Total_Duty_Paid,IEC,IMPORTER,ADDRESS,CITY,Supp_Name,Supp_Address,CHA_NAME,Port_Of_Shipment,COUNTRY
Delhi Ppg,Inppg6,2172879,2025-05-20,29419090,Azithromycin Ip Azithromycin Ip,IP,200,Kg,11836.8,138.28,Usd,295920,,59879.4,0510062059,Del Trade International Pvt Ltd,Beetal House 99 Madangir Behind Local Shopping Centre,New Delhi,Sinobright Pharmaceutical Indusrtries Ltd,"Office F 32/F Plaza 88 No. 88 Yeung Uk Road Tsuen Wan Nt Hong Kong Chi Na Hong Kong, , China China",29,Shanghai,China
Jnpt,Innsa1,2195433,2025-05-21,29415000,Azithromycin Ip/Usp/Ep Azithromycin Ip/Usp/Ep,USP,200,Kg,12096,140,Usd,5343759,,1081309.62,0310049415,Innova Captab Ltd,172-177 Tirupati Bhavan Rsc-1A Gorai-1 Borivali[W],Mumbai Maharashtra,Mdnf,Nf,29,Xingang (China),China
Madras Sea,Inmaa1,8165485,2025-02-04,29412090,Azithromycin Ip/Usp (Form 10 License No: Il/Bd-013317 Bd-709Dt:19.04.2023 Vt: 28.02.2026)Azithromycin,USP,200,Kg,12194,140,Usd,6097000,,1691003,0707007518,Dove Pharmaceuticals,"No.14, Krumbigal Road,Near Lalbagh West Gate",Bangalore,Zhejiang Guobang Pharmaceutical Co Ltd,"Ltd, No 6 Weiwu Road, Hangzhou Gulf Shangyu Industrial Zone Zhejiang China",29,Shanghai,China
Bangalore,Inblr4,3825376,2025-08-11,29349910,1A00850_Azithromycin B (3-Deoxyazithromycin) (25 Mg) 1A00850_Azithromycin B (3-Deoxyazithromycin) (25 Mg),USP,1,Nos,256293.7,2700,Usd,256293.7,,71083,0712029630,Chromachemie Laboratory Pvt Ltd,,,United States Pharmacopeial Convention," ..12601, Twinbrook Parkway Rockville, Md 20852-1790, Usa New York, , Uni Ted States United Statesunited States",29,"Washington, Dulles I",United States
Jnpt,Innsa1,2110185,2025-05-17,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,210,Kg,10674.43,123.5,Usd,17079092,,3327861.25,0388114533,Mehta Api Pvt Ltd,315-318 Janki Centre Pl No.29 Shah Indl Est. Off Veera D. Rd Andheri-W,"Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,China
Jnpt,Innsa1,2243195,2025-05-23,29413090,Azithromycin Amine Having Purity Nmt 94 Persentage Azithromycin Amine Having Purity Nmt 94 Persentage,USP,210,Kg,10743.46,124.3,Usd,16813516,,0,0388036591,Mehta Pharmaceutical Industries,314 Janki Centre Plot No.29 Shah Indl Est Off Veera Desai Rd,Andheri(W) Maharashtra,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,China
Bombay Air Cargo,Inbom4,0,2026-01-17,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,225.2,Kg,11080,121.5,Usd,38782800,,10756410,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co. Ltd.Pacific Road No.1Nuanquan Economic Zone Helan, County Yinchuan, Ningxi A, China. , , China Chinachina",29,Chengdu,China
Jnpt,Innsa1,2401745,2025-05-31,29415000,Azithromycin Amine (4 Drums) Azithromycin Amine,USP,229.5,Kg,6480,75.7,Usd,648000,,179722.8,0816923663,Pranjal Associates,C-10 Survey No 409/1 Kalptaru Industrial Estate Nr Railway Crossing Village - Moraiya,Sanand,Tawazon General Trading Llc,"Office No 303-L, Smark 9 Building 23Rd,Street, Al ,Karama Bur Dubai, Sdnf United Arab Emirates",29,Jebel Ali,China
Jnpt,Innsa1,66632,2025-10-16,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,229.5,Kg,11035.79,123,Usd,685725,,17063828,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co., Ltd.Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q Chinachina",29,Shanghai,China
Ahmedabad Air Cargo Complex,Inamd4,0,2026-01-17,29419090,Azithromycin Amine (Pharmaceutical Raw Material)-(Not For Medicine Use)Azithromycin Amine (Pharmaceutical Raw Material)-(Not For Me,USP,229.5,Kg,11325,122,Usd,1282057.38,,355578.59,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co., Ltdpacific Road No.1,Nuanquan Economic Zone,Helan County, Yinchuan, Ningxia Chinachina",29,Beijing,China
Jnpt,Innsa1,2195433,2025-05-21,29415000,Azithromycin Ip/Usp/Ep Azithromycin Ip/Usp/Ep,USP,229.5,Kg,12096,140,Usd,331502.97,,67079.7,0310049415,Innova Captab Ltd,172-177 Tirupati Bhavan Rsc-1A Gorai-1 Borivali[W],Mumbai Maharashtra,Mdnf,Nf,29,Xingang (China),China
Jnpt,Innsa1,5103,2025-10-25,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,240.7,Kg,10912.79,123,Usd,658050,,16192644,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co., Ltd.Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q Chinachina",29,Shanghai,China
Bombay Air Cargo,Inbom4,0,2026-01-14,29419090,Azithromycin Amine Azithromycin Amine,USP,242.23,Kg,12712,140,Usd,6356000,,1762836.62,0389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing, Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"Cspc Ouyi Pharmaceutical Co Ltd..No 88 Yangzi Road, Economic And Tec Hnological Development Zone Shijiaz Huang Hebei China Chinachina",29,Beijing,China
Jnpt,Innsa1,249,2025-10-28,29415000,Azithromycin Amine Azithromycin Ip/Usp,USP,249.83,Kg,10910.1,123,Usd,615000,,0,0399015035,Kopran Research Laboratories Ltd,"Parijat House,1076,Dr. E. Moses Road,Worli,","Mumbai ,Maharashtra",Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co.Ltd.Pacific Road No.1,Nuanquan Economic Zone Helan County,Yinchuan Ningxia Sdnf Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-31,29419090,Azithromycin Amine.- Not For Medicinal Use. Azithromycin Amine.- Not For Medicinal Use.,USP,250,Kg,10821.4,124.38,Usd,391809.28,,9454143,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Brilliant Pharmaceutical Ltd,"Brilliant Pharmaceutical Limited.Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China ., ., China Chinachina",29,Shanghai,China
Jnpt,Innsa1,7462449,2025-10-18,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,250,Kg,10931.7,125.65,Usd,552867.06,,13340387,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",To The Order,"Heilongjiang Lianshun Biotech Co. ,Jianghe Integration Green Intellige Industrial Zone, Xinli Village, Zhongxinhe Town, Qiezihe District Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-25,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),USP,250,Kg,10931.71,125.65,Usd,628259,,15159548,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",To The Order,"Heilongjiang Lianshun Biotech Co. ,Jianghe Integration Green Intellige Industrial Zone, Xinli Village, Zhongxinhe Town, Qiezihe District Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-14,29419090,Azithromycin Amine.(Not For Medicinal Use). Azithromycin Amine.(Not For Medicinal Use).,USP,250,Kg,11033.1,123,Usd,430500,,10710106,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Brilliant Pharmaceutical Ltd,"Brilliant Pharmaceutical Limited.Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China ., ., China Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-06,29419090,Azithromycin Amine. Azithromycin Amine.,USP,250,Kg,11033.1,123,Usd,473550,,11781117,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Brilliant Pharmaceutical Ltd,"Brilliant Pharmaceutical Limited.Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China ., ., China Chinachina",29,Shanghai,China
Bombay Air Cargo,Inbom4,0,2026-01-14,29419090,Azithromycin Amine (Not For Medicinal Use) Azithromycin Amine (Not For Medicinal Use),USP,250,Kg,11236,121,Usd,23596378,,6544455.5,0389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing, Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Sinobright Pharmaceutical Industries Ltd,"Sinobright Pharmaceutical Industries Limitedoffice F, 32/F, Plaza 88 No.88, Yeu Ng Uk Road, Tsuen Wan, Hong Kong, Sdnf Chinachina",29,Shanghai - Pu Dong,China
Jnpt,Innsa1,0,2025-10-17,29419090,Azithromycin Amine Azithromycin Amine,USP,250,Kg,11254,129.36,Usd,388068.91,,9363891,0398002223,Calyx Chemicals And Pharmaceuticals Ltd,"Unit No.2, Marwahs Complex, Marwah Eatate, Sakinaka, Sakivihar Road,","Andheri,East, Mumbai ,Maharashtra",Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co., Ltd.Pacific Road No.1,Nuanquan Economic Zone, Helan Country, Yinchuan,Ningx Ia Chinachina",29,Shanghai,China
Jnpt,Innsa1,2021535,2025-05-13,29419090,Azithromycin Ip/Usp/Ep Azithromycin Ip/Usp/Ep(Antibiotic),USP,250,Kg,11977,140,Usd,21205278,,0,2207001415,Theon Pharmaceuticals Ltd,House No. 50 Sector-28-A N/A,Chandigarh.,Hebei Guolong Pharmaceutical Co Ltd,"No-9, Xingye Street, Shijiazhuang E Conomic And Technological Developme Nt Zone,Shijiazhuang,Hebei, Hebei, China",29,Xingang (China),China
Jnpt,Innsa1,0,2025-10-13,29419090,Azithromycin Ep11/Usp43/Ip2022 Azithromycin Ep11/Usp43/Ip2022,USP,250,Kg,12737.4,142,Usd,284000,,0,0390002518,Shalina Laboratories Pvt Ltd,"96,Maker Chamber Vi, Nariman Point,","Mumbai,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co., Ltdno.6, Weiwu Road, Hangzhou Gulf Sha Ngyu Economic And Technological Dev Elopment Zone, Zhejiang, Hangzhou - Chinachina",29,Shanghai,China
Jnpt,Innsa1,4,2025-10-14,29419090,Azithromycin Ip Usp Azithromycin Ip Usp,USP,250,Kg,12737.4,142,Usd,284000,,0,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane, Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co., Ltd.No.6,Weiwu Road, Hangzhou Gulf, Sha Ngyu Economic And Technological Dev Elopment Zone, Zhejiang,China Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-11,29415000,Azithromycin Amine Azithromycin Amine,USP,251.35,Kg,11795.55,131.5,Usd,233412.5,,0,0399015035,Kopran Research Laboratories Ltd,"Parijat House,1076,Dr. E. Moses Road,Worli,","Mumbai ,Maharashtra",Hong Kong Xinsheng Medical Technology Co Ltd,"Hong Kong Xinsheng Medical Technology Co.Ltd.Room 804, 8Th Floor Far East Conso Rtium Building 121 Des Voeux Road C Entral Road Chinachina",29,Shanghai,China
Jnpt,Innsa1,5766561,2025-10-16,29419090,Azithromycin Amine.(Inv. No. Sj25N01379-2 & Sj25N01323-3-Invdt. 29.09.2025.)Azithromycin Amine.,USP,259.02,Kg,11033.1,123,Usd,196800,,4896048.5,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Brilliant Pharmaceutical Ltd,"Brilliant Pharmaceutical Limited.Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China ., ., China Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-14,29419090,Azithromycin Ip Usp Azithromycin Ip Usp,USP,260,Kg,11930.1,133,Usd,179550,,0,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane, Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Cspc Ouyi Pharmaceutical Co Ltd,"Cspc Ouyi Pharmaceutical Co., Ltd.No.88 Yangzi Road, Economic And Tec Hnological Development Zone, Shijia Zhuang, Hebei, China China China Chinachina",29,Shanghai,China
Jnpt,Innsa1,15,2025-10-09,29415000,Azithromycin Amine (Having Purity Nmt 94) Azithromycin Amine (Having Purity Nmt 94),USP,275,Kg,11036.3,123,Usd,164574,,2877266.75,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co. ,Ltdjianghe Integration Green Intellige Industrial Zone, Xinli Village Zhongxinhe Town, Qiezihe District Cnchina",29,Shanghai,China
Jnpt,Innsa1,15,2025-10-09,29415000,Azithromycin Amine (Having Purity Nmt 94) Azithromycin Amine (Having Purity Nmt 94),USP,280,Kg,11036.3,123,Usd,163313.25,,4064134.5,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co. ,Ltdjianghe Integration Green Intellige Industrial Zone, Xinli Village Zhongxinhe Town, Qiezihe District Cnchina",29,Shanghai,China
Jnpt,Innsa1,0,2026-01-12,29419090,Azithromycin Amine(Not For Medicinal Use) Azithromycin Amine(Not For Medicinal Use),USP,300,Kg,10991,121,Usd,42865536,,11888756,0389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing, Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Sinobright Pharmaceutical Industries Ltd,"Sinobright Pharmaceutical Industries Limitedoffice F,32/F,Plaza 88 No.88 Yeung Uk Road. Tsuen Wan, Nt,Hong Kong,Ch Ina Chinachina",29,Shanghai,China
Jnpt,Innsa1,8579,2025-10-11,29415000,Azithromycin Amine Azithromycin Ip/Usp,USP,300,Kg,11795.55,131.5,Usd,174237.5,,0,0399015035,Kopran Research Laboratories Ltd,"Parijat House,1076,Dr. E. Moses Road,Worli,","Mumbai ,Maharashtra",Hong Kong Xinsheng Medical Technology Co Ltd,"Hong Kong Xinsheng Medical Technology Co.Ltd.Room 804,8 Thfloor, Consortium Buil Ding 121 Des Voeux Road Cental Hong Kong Chinachina",29,Shanghai,China
Jnpt,Innsa1,15,2025-10-09,29415000,Azithromycin Amine (Having Purity Nmt 94) Azithromycin Amine (Having Purity Nmt 94),USP,309.9,Kg,11036.3,123,Usd,149076,,0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co. ,Ltdjianghe Integration Green Intellige Industrial Zone, Xinli Village Zhongxinhe Town, Qiezihe District Cnchina",29,Shanghai,China
Jnpt,Innsa1,69744,2025-10-15,29415000,Azithromycin Amine Azithromycin Amine,USP,325,Kg,11033.1,123,Usd,129150,,0,0399015035,Kopran Research Laboratories Ltd,"Parijat House,1076,Dr. E. Moses Road,Worli,","Mumbai ,Maharashtra",Sinobright Pharmaceutical Industries Ltd,"Sinobright Pharmaceutical Industries Limitedoffice F, 32/F, Plaza 88 No. 88 Yeu Ng Uk Road, Tsuen Wan, Nt, Hongkong Sdnf Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2026-01-17,29419090,Azithromycin Usp (Azithromycin Dihydrate Usp) Azithromycin Usp (Azithromycin Dihydrate Usp),USP,325,Kg,12403,136,Usd,1860480,,0,5206012513,Globela Pharma Pvt Ltd,"357, G.I.D.C. Sachin Road No.3,",Surat/Gujarat,Zhejiang Hengdian Apeloa Import And Export Co Ltd,"Zhejiang Hengdian Apeloa Imp. & Exp. Co., Ltd13F, T1, Hengdian Center, No. 136 F Uchun Road, Shangcheng District, Ha Ngzhou, China Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-08,29415000,Azithromycin Ip/Usp Azithromycin Ip/Usp,USP,347.46,Kg,12558,140,Usd,140000,,0,0388066989,Kopran Ltd,"Parijat House, 1076, Dr. E. Moses Road,Worli","Mumbai ,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,Zhejiang Guobang Pharmaceutical Co Ltdno.6 Weiwu Road Hangzhou Gulf Shang Yu Economic And Technological Devel Opment Zone Zhejiang Chinachina,29,Shanghai,China
Jnpt,Innsa1,0,2025-10-30,29419090,Azithromycin Ep,EP,350,Kg,11494.3,132.12,Usd,132118.3,,2239664.5,0388063262,J B Chemicals And Pharmaceuticals Ltd,"Neelam Centre, B Wing, 4Th Floor, Hind Cycle Road, Worli,","Mumbai, Maharashtra.",Brilliant Pharmaceutical Ltd,"Brilliant Pharmaceutical Limited6/F Manulife Place,348 Kwun Tong Rd , Klhong Kong Sdnf Chinachina",29,Shanghai,China
Jnpt,Innsa1,4,2025-10-30,29419090,Azithromycin Ep,EP,350,Kg,11534.86,132.58,Usd,125955.37,,2135189.5,0388063262,J B Chemicals And Pharmaceuticals Ltd,"Neelam Centre, B Wing, 4Th Floor ,,Hind Cycle Road, Worli,","Mumbai,Maharashtra",Brilliant Pharmaceutical Ltd,"Brilliant Pharmaceutical Limited6/F Manulife Place,348 Kwun Tong Rd , Klhong Kong Sdnf Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-11,29415000,Azithromycin Amine Azithromycin Amine,USP,350,Kg,11795.55,131.5,Usd,118350,,0,0399015035,Kopran Research Laboratories Ltd,"Parijat House,1076,Dr. E. Moses Road,Worli,","Mumbai ,Maharashtra",Hong Kong Xinsheng Medical Technology Co Ltd,"Hong Kong Xinsheng Medical Technology Co.Ltd.Room 804, 8Th Floor Far East Conso Rtium Building 121 Des Voeux Road C Entral Road Chinachina",29,Shanghai,China
Jnpt,Innsa1,27,2025-10-06,29419090,Azithromycin Ip/Usp -(Lic No. Il/Bd-008368 Bd-709 Dt. 25.04.2023)Azithromycin Ip/Usp -(Lic No. Il/Bd-008368 Bd-709 Dt. 25.04.,USP,350,Kg,12737.4,142,Usd,142000,,2577413,0399005374,Zim Laboratories Ltd,"Manisha Plaza Sonapur Lane, Off L.B.S.Marg,Kurla West,","Mumbai,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co., Ltd.No.6,Weiwu Road, Hangzhou Gulf, Sha Ngyu Industrial Zone,Zhejiang,China Sdnf Chinachina",29,Shanghai,China
Jnpt,Innsa1,0,2025-10-27,29419090,Azithromycin Ip Azithromycin Ip,IP,369.3,Kg,11905.3,136.84,Usd,102631.88,,2476450.75,0395063981,Aquatic Remedies Ltd,"218/219, 2Nd Floor,Kailash Plaza, Opp.Odeon Cinema, Vallabh Baug Lane","Ghatkopar East,Mumbai, Maharasthra",Brilliant Pharmaceutical Ltd,"Brilliant Pharmaceutical Limitedoffice F, 32/F, Plaza 88 No, 88 Yeu Ng Uk Road Tsuen Wan, Nt Hong Kong Tsuen, , Hong Kong Hong Konghong Kong",29,Shanghai,China
Bangalore,Inblr4,8234665,2025-02-07,29419090,75199-25Mg-F Azithromycin [For Further Sale] 75199-25Mg-F Azithromycin [For Further Sale],USP,2,Nos,14038.98,14038.98,Inr,28077.96,,7787.4,0703003453,Sigma Aldrich Chemicals Pvt Ltd,"Plot.No.12,Bommasandra-Jigani Link,Road,Indl.Area,Anekal Tq,",Bangalore,Sigma Aldrich International Gmbh,Industriestrasse-25-Ch 9471 Buchs Sdnf Sdnf Switzerland,29,Frankfurt/Main Int'L,China
Delhi Ppg,Inppg6,2185872,2025-05-21,29419090,Azithromycin Ip Azithromycin Ip,IP,371,Kg,11836.8,137,Usd,5708652,,1155145.75,0510062059,Del Trade International Pvt Ltd,Beetal House 99 Madangir Behind Local Shopping Centre,New Delhi,Sinobright Pharmaceutical Indusrtries Ltd,"Office F 32/F Plaza 88 No. 88 Yeung Uk Road Tsuen Wan Nt Hong Kong Chi Na Hong Kong, , China China",29,Shanghai,China
